MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Education,Marital_Status,Country,Kidhome,Teenhome,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain
62,1,44,6,5,22,2,1,4,Master,Married,GER,0,1,0,0,0,0,0,0,0
67,1,20,0,2,31,2,2,2,Master,Widow,US,1,1,0,0,0,0,0,1,0
421,76,536,82,178,102,8,6,5,Graduation,Married,AUS,0,1,0,0,0,0,0,0,0
154,22,202,39,30,8,4,2,9,PhD,Single,SP,0,1,0,0,0,0,0,1,0
502,19,132,0,6,26,6,2,11,PhD,Single,SP,0,1,0,0,0,0,0,0,0
145,193,459,205,26,145,3,8,7,Graduation,Married,SP,0,0,0,0,0,0,0,1,0
322,3,50,4,3,42,7,1,6,PhD,Single,SA,0,1,0,0,0,0,0,1,0
322,3,50,4,3,42,7,1,6,PhD,YOLO,CA,0,1,0,0,0,0,0,0,0
322,3,50,4,3,42,7,1,6,PhD,YOLO,IND,0,1,0,0,0,0,0,1,0
1099,0,45,0,0,34,3,4,10,Master,Married,SP,1,1,0,1,0,0,0,0,0
1099,0,45,0,0,34,3,4,10,Master,Married,SP,1,1,0,1,0,0,0,1,0
890,63,292,0,25,12,8,4,7,PhD,Together,GER,0,0,0,0,0,0,0,1,0
863,83,547,86,99,33,8,2,5,PhD,Married,SP,0,0,0,0,0,0,0,0,0
448,21,125,52,101,62,7,6,8,2n Cycle,Married,SP,0,0,1,0,1,1,0,1,0
399,4,30,6,4,30,7,1,7,Graduation,Together,SP,0,1,0,1,0,0,0,0,0
85,7,24,2,3,27,3,1,3,Graduation,Married,IND,2,0,0,0,0,0,0,0,0
97,1,41,6,2,41,4,1,3,Graduation,Married,AUS,0,1,0,0,0,0,0,0,0
35,3,67,10,8,24,3,1,3,Graduation,Together,SA,2,0,0,0,0,0,0,1,0
3,2,11,2,2,10,1,0,2,Master,Married,SP,1,0,1,0,0,0,0,0,0
315,35,322,46,7,143,7,2,11,Graduation,Married,US,0,1,0,0,0,0,0,0,0
738,0,232,13,20,50,3,5,7,Master,Together,CA,0,1,0,0,0,0,0,1,0
738,0,232,13,20,50,3,5,7,Master,Together,SP,0,1,0,0,0,0,0,0,0
179,28,520,111,123,47,3,8,13,Master,Married,SP,0,0,0,0,0,0,0,1,0
381,28,215,84,28,21,6,5,9,Graduation,Single,SP,0,1,0,0,0,0,0,0,0
247,49,159,7,82,109,5,2,10,Graduation,Together,GER,0,1,0,0,0,0,0,0,0
711,36,217,172,96,168,7,4,7,Graduation,Married,SP,0,1,0,1,0,1,0,0,0
30,8,12,8,8,12,2,0,4,Graduation,Married,SP,1,0,0,0,0,0,0,0,0
30,8,12,8,8,12,2,0,4,Graduation,Married,CA,1,0,0,0,0,0,0,0,0
288,10,30,4,10,125,6,1,6,Graduation,Together,SP,0,0,0,0,0,0,0,0,0
212,6,69,4,12,3,6,1,5,Graduation,Single,CA,0,1,0,0,0,0,0,0,0
173,4,30,3,6,41,5,1,4,Graduation,Married,US,1,1,0,0,0,0,0,0,0
604,0,100,19,0,28,10,2,8,Master,Married,SP,1,1,0,0,0,0,0,0,0
482,34,471,119,68,22,3,5,9,Master,Married,AUS,0,0,0,0,0,0,0,0,0
531,69,300,150,138,150,5,4,8,Graduation,Divorced,SP,0,1,0,0,0,0,0,0,0
531,69,300,150,138,150,5,4,8,Graduation,Divorced,CA,0,1,0,0,0,0,0,0,0
448,40,469,80,0,91,11,2,12,Master,Single,IND,1,0,0,0,0,0,0,0,0
9,0,6,3,1,3,0,0,3,Graduation,Together,AUS,0,1,0,0,0,0,0,0,0
9,0,6,3,1,3,0,0,3,Graduation,Together,SP,0,1,0,0,0,0,0,0,0
230,42,192,49,37,53,7,2,8,PhD,Married,GER,2,1,0,0,0,0,0,0,0
496,32,849,229,48,128,5,3,6,Graduation,Married,CA,0,0,0,0,0,1,0,0,0
33,4,24,4,2,5,3,0,4,Graduation,Together,IND,1,0,0,0,0,0,0,0,0
784,48,560,42,176,48,4,6,4,PhD,Single,IND,0,0,0,0,1,1,0,1,0
10,12,12,25,1,20,2,0,3,2n Cycle,Married,IND,0,0,0,0,0,0,0,0,0
5,13,14,0,5,31,2,1,2,Graduation,Married,US,1,0,1,0,0,0,0,1,0
4,1,5,2,0,4,1,0,2,Graduation,Married,GER,1,0,0,0,0,0,0,0,0
600,20,350,29,30,33,6,9,10,2n Cycle,Married,IND,0,0,0,0,1,0,0,0,0
168,148,444,32,172,148,6,9,13,Graduation,Divorced,SA,0,0,0,1,1,1,1,1,0
493,26,206,116,80,80,8,3,12,Graduation,Single,SP,0,1,0,0,0,0,0,0,0
6,5,4,13,4,25,2,1,3,Graduation,Single,SP,1,1,0,0,0,0,0,0,0
6,4,1,7,2,15,0,1,2,Master,Single,SA,0,0,1,0,0,0,0,1,0
4,12,5,3,16,17,2,0,3,Basic,Married,CA,1,0,0,0,0,0,0,0,0
4,12,5,3,16,17,2,0,3,Basic,Married,GER,1,0,0,0,0,0,0,0,0
29,0,2,0,0,1,1,0,3,PhD,Divorced,SP,1,1,0,0,0,0,0,0,0
520,8,223,32,49,42,10,5,7,Master,Together,ME,0,1,1,0,0,0,0,1,0
520,8,223,32,49,42,10,5,7,Master,Together,AUS,0,1,1,0,0,0,0,1,0
835,73,380,114,73,43,6,9,7,Graduation,Married,AUS,0,1,0,1,0,0,0,0,0
1296,17,311,45,69,51,2,4,10,Graduation,Divorced,SP,0,0,0,1,1,1,1,1,0
16,0,3,0,0,1,1,0,2,PhD,Divorced,SP,1,1,0,0,0,0,0,0,0
760,80,466,17,13,80,6,9,5,PhD,Married,SA,0,1,0,0,0,0,0,0,0
70,6,69,2,3,3,3,1,4,PhD,Married,SP,1,0,0,0,0,0,0,0,0
68,0,16,0,0,8,2,0,4,Master,Single,SP,1,1,0,0,0,0,0,0,0
68,0,16,0,0,8,2,0,4,Master,Single,SP,1,1,0,0,0,0,0,0,0
9,1,5,4,5,7,1,0,3,Master,Together,SA,1,0,0,0,0,0,0,0,0
9,1,5,4,5,7,1,0,3,Master,Together,CA,1,0,0,0,0,0,0,0,0
325,83,300,86,58,91,6,4,12,Graduation,Single,SP,0,1,0,0,0,0,0,0,0
9,1,3,0,4,8,0,0,3,Graduation,Together,SA,1,1,0,0,0,0,0,0,0
9,1,3,0,4,8,0,0,3,Graduation,Together,SP,1,1,0,0,0,0,0,0,0
303,23,751,82,26,191,6,5,13,Graduation,Together,SP,0,0,0,0,0,0,0,1,0
121,103,69,8,44,48,4,2,7,Graduation,Married,SP,0,1,0,0,0,0,0,0,0
16,36,21,20,62,108,4,1,3,Basic,Married,SP,0,0,0,0,0,0,0,0,0
561,64,785,84,128,48,3,3,8,PhD,Married,SP,0,0,0,0,0,0,0,0,0
462,61,184,10,53,107,7,5,9,PhD,Married,SP,0,1,1,0,0,0,0,1,0
376,0,38,11,8,69,6,3,6,Graduation,Married,SP,0,1,0,0,0,0,0,0,0
341,142,113,259,151,66,6,6,12,2n Cycle,Widow,SP,0,1,0,0,0,0,0,0,0
595,97,291,127,133,121,11,5,12,Graduation,Together,GER,0,0,0,0,0,0,0,0,0
179,8,83,19,11,26,1,2,9,Master,Married,SP,0,1,0,0,0,0,0,0,0
23,4,5,10,5,23,1,0,4,2n Cycle,Single,SP,0,1,0,0,0,0,0,0,0
530,117,678,134,44,147,4,10,8,Graduation,Single,SP,0,0,1,0,0,1,0,1,0
594,134,786,33,134,57,5,6,8,Graduation,Together,SP,0,0,0,0,1,0,0,0,0
852,60,207,78,36,48,2,6,10,Master,Single,SA,0,0,0,0,0,0,0,0,0
158,0,76,13,7,71,4,4,3,Master,Married,AUS,1,1,0,0,0,0,0,0,0
384,25,292,130,41,64,8,8,6,Graduation,Married,SP,1,0,1,0,0,0,0,0,0
14,7,11,11,0,5,2,0,3,Graduation,Married,SP,1,0,0,0,0,0,0,0,0
2,8,11,3,8,21,3,2,2,2n Cycle,Together,IND,1,0,0,0,0,0,0,0,0
194,2,56,0,0,0,4,1,6,Graduation,Together,SP,1,1,0,0,0,0,0,1,0
194,2,56,0,0,0,4,1,6,Graduation,Together,SP,1,1,0,0,0,0,0,1,0
6,17,16,6,16,42,3,1,3,Basic,Together,SP,1,0,0,0,0,0,0,1,0
179,21,273,0,21,63,6,10,6,PhD,Married,SP,0,0,1,0,1,1,0,1,0
1,3,8,2,5,5,1,0,2,Graduation,Married,CA,1,0,0,0,0,0,0,0,0
216,2,6,0,0,9,5,1,4,PhD,Married,SA,0,1,0,0,0,0,0,0,0
16,0,23,3,2,10,4,1,2,Graduation,Together,SA,1,0,0,0,0,0,0,1,0
428,30,214,80,30,61,6,5,10,Master,Together,SA,0,1,0,0,0,0,0,0,0
1092,37,592,145,37,55,5,5,8,PhD,Divorced,SP,0,0,0,0,0,1,0,1,0
10,0,7,2,0,1,1,0,2,Graduation,Married,SP,1,2,0,0,0,0,0,0,0
559,153,503,218,13,181,3,9,9,Graduation,Married,SA,0,0,0,0,0,1,0,1,0
606,148,228,15,148,22,6,8,13,PhD,Single,CA,0,0,0,0,0,0,0,0,0
11,5,22,12,5,11,3,0,3,2n Cycle,Married,GER,1,0,0,0,0,0,0,0,0
588,7,76,110,15,15,8,4,9,PhD,Divorced,SA,1,0,0,0,0,0,0,0,0
316,58,161,76,51,135,6,9,4,Graduation,Together,SA,0,1,0,0,0,0,0,1,0
279,83,88,32,14,34,4,2,10,Graduation,Single,SP,0,1,0,0,0,0,0,0,0
1462,16,128,0,0,160,5,3,6,PhD,Widow,SP,0,0,0,1,1,0,1,1,0
546,0,48,0,6,6,7,3,8,PhD,Widow,AUS,0,1,0,0,0,0,0,0,0
277,21,64,62,21,25,3,2,10,Graduation,Married,SP,0,1,0,0,0,0,0,0,0
948,10,86,13,21,21,6,9,11,PhD,Single,AUS,0,1,0,0,0,0,0,0,0
664,9,240,50,19,57,7,7,10,PhD,Together,SP,0,1,0,0,0,0,0,0,0
268,11,88,15,3,22,6,3,5,Graduation,Single,SA,0,1,0,0,0,0,0,0,0
530,142,217,62,9,56,7,4,13,Graduation,Married,CA,0,1,0,1,0,0,0,0,0
199,33,60,8,3,15,5,2,5,Graduation,Together,SP,1,1,0,0,0,0,0,1,0
199,33,60,8,3,15,5,2,5,Graduation,Together,SP,1,1,0,0,0,0,0,1,0
73,57,100,71,15,0,6,1,5,Graduation,Married,SP,1,1,0,0,0,0,0,1,0
16,5,30,8,7,26,3,0,4,2n Cycle,Married,SA,1,0,0,0,0,0,0,0,1
96,12,96,33,22,43,4,1,6,PhD,Divorced,AUS,0,2,0,0,0,0,0,1,0
587,51,898,247,0,86,3,6,7,Graduation,Married,GER,0,0,0,0,0,0,0,0,0
56,19,29,2,14,25,3,1,3,PhD,Single,SP,0,0,0,0,0,0,0,1,0
6,2,3,1,262,3,27,0,0,PhD,Single,SP,0,0,0,0,0,0,0,0,0
158,11,99,15,11,17,3,2,7,Graduation,Single,SA,1,0,0,0,0,0,0,0,0
3,2,8,20,0,17,2,1,2,Graduation,Married,IND,2,0,0,0,0,0,0,0,0
45,3,9,4,4,7,1,2,2,PhD,Married,SP,1,0,1,0,0,0,0,1,0
8,2,5,3,0,3,1,0,2,Graduation,Single,AUS,1,1,0,0,0,0,0,0,0
12,6,2,11,2,16,1,0,3,Graduation,Together,SP,1,0,0,0,0,0,0,0,0
508,5,21,7,5,10,7,3,7,Master,Widow,CA,0,1,0,1,0,0,0,0,0
11,2,7,4,2,2,1,0,3,Master,Together,CA,0,1,0,0,0,0,0,0,0
234,14,77,19,10,42,4,1,8,Master,Single,SP,1,0,0,0,0,0,0,0,0
992,24,694,51,19,119,5,10,5,Graduation,Married,AUS,0,0,1,0,1,0,0,0,0
125,6,73,8,4,19,3,1,6,Master,Divorced,SP,1,0,0,0,0,0,0,0,0
174,18,81,28,6,24,3,2,7,PhD,Divorced,SP,0,1,0,0,0,0,0,0,0
1478,19,403,0,19,0,7,6,6,PhD,Married,SP,0,0,0,1,1,0,0,1,0
1478,19,403,0,19,0,7,6,6,PhD,Married,SA,0,0,0,1,1,0,0,1,0
80,1,60,4,6,16,5,1,2,Master,Single,SP,1,0,0,0,0,0,0,1,0
1001,12,240,16,12,12,5,4,10,PhD,Divorced,CA,0,0,0,0,0,0,0,0,0
392,5,91,28,26,112,7,3,7,Graduation,Single,GER,1,1,0,0,0,0,0,1,0
388,14,218,91,14,21,4,3,13,Graduation,Married,SP,0,0,0,0,0,0,0,0,0
65,0,46,4,3,20,3,1,3,Graduation,Married,SP,1,1,0,0,0,0,0,0,0
177,2,71,3,2,20,5,2,4,Master,Together,SA,1,1,0,0,0,0,0,1,0
577,0,64,0,0,51,10,1,8,Graduation,Together,GER,0,0,1,0,0,0,0,1,0
460,35,422,33,12,153,6,6,7,Graduation,Married,CA,0,1,0,0,0,0,0,0,0
219,3,100,26,0,17,7,1,5,Graduation,Divorced,SP,0,1,0,0,0,0,0,0,0
5,0,3,0,0,1,1,0,2,PhD,Together,SP,1,1,0,0,0,0,0,0,0
5,7,31,15,4,7,2,1,3,Master,Single,SP,1,0,0,0,0,0,0,1,0
31,1,13,7,2,9,2,1,4,2n Cycle,Together,SP,1,1,0,0,0,0,0,0,0
117,0,22,13,0,30,4,1,3,Graduation,Married,SP,1,1,0,0,0,0,0,0,0
30,5,24,6,3,8,2,0,4,2n Cycle,Married,SP,1,0,0,0,0,0,0,0,0
236,106,189,23,41,130,7,2,9,Graduation,Married,CA,0,0,0,0,0,0,0,0,0
6,4,14,8,8,22,2,1,2,Basic,Married,US,1,0,1,0,0,0,0,0,0
464,28,873,29,18,37,7,4,7,Graduation,Single,SA,0,0,0,0,0,1,0,1,0
16,2,18,3,0,24,1,1,2,PhD,Married,SP,1,0,1,0,0,0,0,1,0
2,5,7,0,18,18,2,0,3,2n Cycle,Together,CA,1,0,0,0,0,0,0,0,0
120,58,73,65,89,58,5,4,5,Graduation,Married,CA,0,1,0,0,0,0,0,0,0
9,1,7,0,3,2,1,0,3,2n Cycle,Together,SP,1,1,0,0,0,0,0,0,0
9,1,7,0,3,2,1,0,3,2n Cycle,Together,AUS,1,1,0,0,0,0,0,0,0
145,1,33,2,1,1,4,1,4,PhD,Married,SP,0,1,0,0,0,0,0,0,0
200,19,111,50,15,19,5,1,8,Graduation,Together,CA,0,1,0,0,0,0,0,0,0
532,88,168,69,44,133,7,3,13,PhD,Divorced,SA,0,1,0,0,0,0,0,0,0
532,88,168,69,44,133,7,3,13,PhD,Divorced,US,0,1,0,0,0,0,0,0,0
30,0,10,2,0,5,1,0,3,Master,Married,CA,1,0,0,0,0,0,0,0,0
297,0,38,13,0,152,5,4,4,Graduation,Married,IND,1,1,1,0,0,0,0,1,0
151,7,89,0,7,28,4,1,6,Graduation,Together,SA,1,2,0,0,0,0,0,0,0
997,26,269,34,13,42,10,4,6,Graduation,Together,CA,0,0,0,1,1,0,0,1,0
23,1,13,2,2,18,1,1,2,Master,Married,SP,1,0,1,0,0,0,0,1,0
23,1,13,2,2,18,1,1,2,Master,Married,AUS,1,0,1,0,0,0,0,1,0
797,153,293,72,97,30,11,4,6,Graduation,Divorced,SP,0,0,0,1,1,1,0,1,0
823,25,459,124,29,95,6,6,7,Graduation,Married,US,0,0,0,0,1,0,0,1,0
823,25,459,124,29,95,6,6,7,Graduation,Married,SP,0,0,0,0,1,0,0,1,0
966,26,282,52,26,26,2,7,11,Graduation,Together,SP,0,0,0,1,1,1,1,0,0
180,60,241,13,54,54,5,5,7,Graduation,Divorced,AUS,1,0,0,0,0,0,0,1,0
37,32,38,11,3,18,2,1,4,Graduation,Divorced,SP,0,0,0,0,0,0,0,0,0
5,5,6,0,2,1,1,0,2,Graduation,Married,US,1,0,0,0,0,0,0,0,0
416,0,26,0,0,4,6,3,6,PhD,Single,SP,1,2,0,1,0,0,0,1,0
314,11,53,4,3,107,7,3,4,Master,Together,SP,0,1,0,1,0,0,0,1,0
10,7,19,8,2,21,2,2,2,Graduation,Together,SA,1,0,0,0,0,0,0,0,0
9,1,4,3,2,3,1,0,2,Master,Married,GER,1,1,0,0,0,0,0,0,0
18,6,15,12,8,17,2,1,3,Graduation,Together,CA,1,1,0,0,0,0,0,0,0
18,6,15,12,8,17,2,1,3,Graduation,Together,SP,1,1,0,0,0,0,0,0,0
342,9,112,19,14,19,5,2,9,Graduation,Married,SP,1,1,0,0,0,0,0,1,0
63,3,67,8,9,28,3,1,4,Master,Married,SA,1,0,0,0,0,0,0,1,0
20,6,5,0,9,12,1,0,3,2n Cycle,Together,SA,0,0,1,0,0,0,0,0,0
629,0,70,0,0,35,11,2,7,PhD,Married,SA,0,1,0,0,0,0,0,0,0
158,6,45,8,2,2,3,2,5,Graduation,Married,SA,1,0,0,0,0,0,0,0,0
201,53,172,116,77,83,5,4,9,PhD,Married,SP,0,1,0,0,0,0,0,0,0
964,34,137,15,0,11,5,2,10,Master,Married,SP,1,0,0,1,0,0,0,0,0
72,24,68,65,4,8,3,1,6,Graduation,Together,SA,0,1,0,0,0,0,0,0,0
123,133,142,71,44,88,6,2,8,PhD,Divorced,SA,0,0,0,0,0,0,0,0,0
159,0,22,2,1,31,4,1,4,Graduation,Together,SP,0,1,0,0,0,0,0,0,0
6,10,21,19,14,42,2,1,3,Graduation,Single,AUS,1,0,0,0,0,0,0,0,0
6,10,21,19,14,42,2,1,3,Graduation,Single,SP,1,0,0,0,0,0,0,0,0
209,0,40,3,2,15,6,1,4,PhD,Divorced,CA,1,1,0,0,0,0,0,0,0
100,64,79,65,0,109,6,2,4,PhD,Married,AUS,1,1,0,0,0,0,0,0,0
1170,19,594,99,76,134,2,5,12,PhD,Together,SP,0,1,0,0,0,0,0,0,0
70,3,37,4,2,64,3,2,2,Master,Divorced,CA,1,1,0,0,0,0,0,1,0
71,99,278,185,121,38,5,10,5,Graduation,Divorced,SA,0,1,0,0,0,0,0,0,0
5,7,24,19,14,20,3,0,4,Graduation,Alone,CA,1,0,0,0,0,0,0,0,0
5,7,24,19,14,20,3,0,4,Graduation,Single,IND,1,0,0,0,0,0,0,0,0
376,9,83,19,4,4,5,4,7,PhD,Together,CA,0,1,0,0,0,0,0,0,0
387,68,569,89,45,68,6,9,12,Master,Single,SA,0,0,0,0,0,0,0,0,0
357,35,271,28,28,14,6,2,12,Graduation,Divorced,SP,0,1,0,0,0,0,0,0,0
